College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,SC,SCA,ST
1519,"Bharathidasan Engineering College, K.Bandarapalli Post, Nattrampalli, Vellore District-635854",AD,"ARTIFICIAL INTELLIGENCE AND DATA SCIENCE",116.5,,,,,,
1519,"Bharathidasan Engineering College, K.Bandarapalli Post, Nattrampalli, Vellore District-635854",IT,"INFORMATION TECHNOLOGY",124.5,,,,,,
1525,"Podhigai College of Engineering and Technology, Salem Main Road, Adiyur Post, Tirupattur Taluk, Tirupattur, Vellore District-635601",ME,"MECHANICAL ENGINEERING",112.5,,,,,,
College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,SC,SCA,ST
1527,"Kingston Engineering College, Chithoor Cuddalore Road, Christianpet Village, Katpadi Taluk, Vellore District-632059",EC,"ELECTRONICS AND COMMUNICATION ENGINEERING",119,,,,,,
1527,"Kingston Engineering College, Chithoor Cuddalore Road, Christianpet Village, Katpadi Taluk, Vellore District-632059",EE,"ELECTRICAL AND ELECTRONICS ENGINEERING",111,,,,,,
1527,"Kingston Engineering College, Chithoor Cuddalore Road, Christianpet Village, Katpadi Taluk, Vellore District-632059",IT,"INFORMATION TECHNOLOGY",114,,,,,,
1527,"Kingston Engineering College, Chithoor Cuddalore Road, Christianpet Village, Katpadi Taluk, Vellore District-632059",ME,"MECHANICAL ENGINEERING",116,,,,,,
1528,"Ganadipathy Tulsi’s Jain Engineering College, Kaniyambadi, Vellore District-632102",CS,"COMPUTER SCIENCE AND ENGINEERING",116,,,,,,
1528,"Ganadipathy Tulsi’s Jain Engineering College, Kaniyambadi, Vellore District-632102",EC,"ELECTRONICS AND COMMUNICATION ENGINEERING",117,,,,,,
1528,"Ganadipathy Tulsi’s Jain Engineering College, Kaniyambadi, Vellore District-632102",IT,"INFORMATION TECHNOLOGY",119,,,,,,
1528,"Ganadipathy Tulsi’s Jain Engineering College, Kaniyambadi, Vellore District-632102",ME,"MECHANICAL ENGINEERING",112,,,,,,
1534,"Global Institute of Engineering and Technology, Melvisharam, Vellore District-632509",CS,"COMPUTER SCIENCE AND ENGINEERING",117,,,,,,
1534,"Global Institute of Engineering and Technology, Melvisharam, Vellore District-632509",EC,"ELECTRONICS AND COMMUNICATION ENGINEERING",111,,,,,,
1534,"Global Institute of Engineering and Technology, Melvisharam, Vellore District-632509",EE,"ELECTRICAL AND ELECTRONICS ENGINEERING",113,,,,,,
1534,"Global Institute of Engineering and Technology, Melvisharam, Vellore District-632509",ME,"MECHANICAL ENGINEERING",112,,,,,,
1536,"Velammal Engineering College (Autonomous), Ambattur-Redhills Road, Surapet, Chennai-600066",CS,"COMPUTER SCIENCE AND ENGINEERING",156,,,,,,
1536,"Velammal Engineering College (Autonomous), Ambattur-Redhills Road, Surapet, Chennai-600066",EC,"ELECTRONICS AND COMMUNICATION ENGINEERING",143,,,,,,
1536,"Velammal Engineering College (Autonomous), Ambattur-Redhills Road, Surapet, Chennai-600066",EE,"ELECTRICAL AND ELECTRONICS ENGINEERING",140,,,,,,
1536,"Velammal Engineering College (Autonomous), Ambattur-Redhills Road, Surapet, Chennai-600066",IT,"INFORMATION TECHNOLOGY",150,,,,,,
1536,"Velammal Engineering College (Autonomous), Ambattur-Redhills Road, Surapet, Chennai-600066",ME,"MECHANICAL ENGINEERING",137,,,,,,
1540,"Velammal Institute of Technology, Panchetti, Ponneri Taluk, Thiruvallur District-601204",CS,"COMPUTER SCIENCE AND ENGINEERING",140,,,,,,
1540,"Velammal Institute of Technology, Panchetti, Ponneri Taluk, Thiruvallur District-601204",EC,"ELECTRONICS AND COMMUNICATION ENGINEERING",132,,,,,,
1540,"Velammal Institute of Technology, Panchetti, Ponneri Taluk, Thiruvallur District-601204",IT,"INFORMATION TECHNOLOGY",138,,,,,,
1540,"Velammal Institute of Technology, Panchetti, Ponneri Taluk, Thiruvallur District-601204",ME,"MECHANICAL ENGINEERING",129,,,,,,
1543,"Velammal College of Engineering and Technology (Autonomous), Madurai-Tuticorin NH Road, Viraganoor, Madurai District-625009",CS,"COMPUTER SCIENCE AND ENGINEERING",145,,,,,,
1543,"Velammal College of Engineering and Technology (Autonomous), Madurai-Tuticorin NH Road, Viraganoor, Madurai District-625009",EC,"ELECTRONICS AND COMMUNICATION ENGINEERING",140,,,,,,
1543,"Velammal College of Engineering and Technology (Autonomous), Madurai-Tuticorin NH Road, Viraganoor, Madurai District-625009",EE,"ELECTRICAL AND ELECTRONICS ENGINEERING",135,,,,,,
1543,"Velammal College of Engineering and Technology (Autonomous), Madurai-Tuticorin NH Road, Viraganoor, Madurai District-625009",IT,"INFORMATION TECHNOLOGY",142,,,,,,
1543,"Velammal College of Engineering and Technology (Autonomous), Madurai-Tuticorin NH Road, Viraganoor, Madurai District-625009",ME,"MECHANICAL ENGINEERING",131,,,,,,
1546,"Velammal Institute of Technology, Thiruvallur District",CS,"COMPUTER SCIENCE AND ENGINEERING",133,,,,,,
1546,"Velammal Institute of Technology, Thiruvallur District",EC,"ELECTRONICS AND COMMUNICATION ENGINEERING",128,,,,,,
1546,"Velammal Institute of Technology, Thiruvallur District",EE,"ELECTRICAL AND ELECTRONICS ENGINEERING",125,,,,,,
1546,"Velammal Institute of Technology, Thiruvallur District",IT,"INFORMATION TECHNOLOGY",131,,,,,,
1546,"Velammal Institute of Technology, Thiruvallur District",ME,"MECHANICAL ENGINEERING",127,,,,,,
1550,"Vel Tech Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College (Autonomous), Avadi, Thiruvallur District-600062",CS,"COMPUTER SCIENCE AND ENGINEERING",136,,,,,,
